make,model,year,mileage,CarCategory,listPrice,accidentHistory,bodytype,noAccidents,oneOwner,personalUse,vehicleCondition,serviceRecords,transmission,listingStatus,dealerState,dealerCity,certified,displacement,drivetype,engine cyl or electric,interiorColor,exteriorColor,fuel,mpgCombined,mpgCity,mpgHighway,dealerRate,onePrice,Options,serviceHistory,vehicleUseHistory,firstSeenday,latitude,longitude,detailedUrl
Fiat,500e,2015,10931,Economy,10000,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,Gray,Electric,116,122,108,3,11000,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3575, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/7/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE7FT732819
Tesla,Model S,2012,33698,Luxury,45000,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Seattle,FALSE,NA,RWD,Electric,NA,NA,Electric,89,88,90,3,49410,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Intermittent Wipers', 'Keyless Entry', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 5771, 'useType': 'Personal Use', 'ownerNumber': 1}]}",10/13/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1CP8CFP01864
Tesla,Model S,2013,47734,Luxury,43998,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Tan,White,Electric,94,93,96,1,42760,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Keyless Entry', 'Leather Seats', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9112, 'useType': 'Personal Use', 'ownerNumber': 1}]}",8/18/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJSA1AC4DFP10286
Tesla,Model S,2012,56028,Luxury,42998,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Black,Silver,Electric,89,88,90,1,43450,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Leather Seats', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9946, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/16/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJSA1DP3CFP02662
Tesla,Model S,2013,31893,Luxury,49998,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Black,Red,Electric,89,88,90,1,49890,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Leather Seats', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 5933, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/27/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJSA1CP0DFP09457
Tesla,Model X,2016,15603,Luxury,89998,No Accident or Damage Reported,SUV,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,AWD,Electric,Black,Silver,Electric,89,89,90,1,,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Intermittent Wipers', 'Leather Seats', 'Navigation System', 'Power Seat (Driver)', 'Power Steering', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 7623, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/6/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJXCBE43GF008263
Tesla,Model S,2013,47734,Luxury,43998,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Tan,White,Electric,94,93,96,1,42760,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Keyless Entry', 'Leather Seats', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9112, 'useType': 'Personal Use', 'ownerNumber': 1}]}",8/18/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJSA1AC4DFP10286
Tesla,Model S,2012,56028,Luxury,42998,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Black,Silver,Electric,89,88,90,1,43450,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Leather Seats', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9946, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/16/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJSA1DP3CFP02662
Tesla,Model S,2013,31893,Luxury,49998,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Black,Red,Electric,89,88,90,1,49890,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Leather Seats', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 5933, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/27/18,47.61249,-122.1921,https://www.carfax.com/vehicle/5YJSA1CP0DFP09457
Tesla,Model S,2017,15370,Luxury,62607,No Accident or Damage Reported,Sedan,TRUE,TRUE,FALSE,Used,TRUE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Black,Black,Electric,98,97,100,4.2,,"['Handsfree/Bluetooth Integration', 'Navigation System']","[{'city': 'Bellevue', 'state': 'WA', 'odometerReading': 0, 'date': '07/24/18', 'description': '[Pre-delivery inspection completed, Vehicle washed/detailed, Computer reprogrammed]', 'source': 'Audi Bellevue, Bellevue, WA, '}]","{'text': 'Rental Use', 'icon': 'rental', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_rental.gif', 'history': [{'averageMilesPerYear': 14647, 'useType': 'Rental', 'ownerNumber': 1}]}",10/2/18,47.6138,-122.18671,https://www.carfax.com/vehicle/5YJSA1E11HF202548
Kia,Soul EV,2015,33773,Economy,15888,No Accident or Damage Reported,Wagon,TRUE,TRUE,TRUE,Used,TRUE,Automatic,NEWLY LISTED,WA,Bellevue,FALSE,NA,FWD,Electric,Gray,Blue,Electric,0,0,0,0,,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Leather Seats', 'Navigation System', 'Rear-View Camera', 'Split/Folding Seats']","[{'city': 'Novato', 'state': 'CA', 'odometerReading': 33485, 'date': '09/07/18', 'description': '[Maintenance inspection completed, Battery/charging system checked]', 'source': 'Kia Marin, Novato, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9289, 'useType': 'Personal Use', 'ownerNumber': 1}]}",10/15/18,47.61243,-122.18597,https://www.carfax.com/vehicle/KNDJX3AE7F7001223
Kia,Soul EV,2015,33773,Economy,15888,No Accident or Damage Reported,Wagon,TRUE,TRUE,TRUE,Used,TRUE,Automatic,NEWLY LISTED,WA,Bellevue,FALSE,NA,FWD,Electric,Gray,Blue,Electric,0,0,0,0,,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Leather Seats', 'Navigation System', 'Rear-View Camera', 'Split/Folding Seats']","[{'city': 'Novato', 'state': 'CA', 'odometerReading': 33485, 'date': '09/07/18', 'description': '[Maintenance inspection completed, Battery/charging system checked]', 'source': 'Kia Marin, Novato, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9289, 'useType': 'Personal Use', 'ownerNumber': 1}]}",10/15/18,47.61243,-122.18597,https://www.carfax.com/vehicle/KNDJX3AE7F7001223
Tesla,Model S,2015,31903,Luxury,52988,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,NEWLY LISTED,WA,Bellevue,FALSE,NA,AWD,Electric,Gray,Black,Electric,100,95,106,0,63870,"['Air Conditioning', 'Alloy Wheels', 'Heated Seats', 'Keyless Entry', 'Leather Seats', 'MP3', 'Navigation System', 'Power Sun/Moonroof', 'Rear-View Camera', 'Remote Start']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 10665, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/18/18,47.61243,-122.18597,https://www.carfax.com/vehicle/5YJSA1H29FF090776
Tesla,Model S,2017,16183,Luxury,63358,No Accident or Damage Reported,Sedan,TRUE,TRUE,FALSE,Used,TRUE,Automatic,,WA,Bellevue,FALSE,NA,RWD,Electric,Black,Black,Electric,98,97,100,4.6,,"['Handsfree/Bluetooth Integration', 'Navigation System']","[{'city': 'Bellevue', 'state': 'WA', 'odometerReading': 16231, 'date': '09/28/18', 'description': '[Tire condition and pressure checked]', 'source': 'AutoNation Volvo Cars Bellevue, Bellevue, WA, '}]","{'text': 'Rental Use', 'icon': 'rental', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_rental.gif', 'history': [{'averageMilesPerYear': 15404, 'useType': 'Rental', 'ownerNumber': 1}]}",10/12/18,47.61418,-122.1845,https://www.carfax.com/vehicle/5YJSA1E17HF202506
Tesla,Model X,2016,4930,Luxury,99988,No Accident or Damage Reported,SUV,TRUE,TRUE,TRUE,Used,FALSE,Automatic,SOLD,TX,Dallas,FALSE,NA,AWD,Electric,Black,Red,Electric,89,89,90,4.3,,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Rear-View Camera', 'Remote Start', 'Split/Folding Seats']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 2508, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/28/18,32.83327,-96.8308,https://www.carfax.com/vehicle/5YJXCBE43GF018937
Tesla,Model X,2017,12232,Luxury,129999,No Accident or Damage Reported,SUV,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,TX,Dallas,FALSE,NA,AWD,Electric,White,White,Electric,86,81,92,4.3,,"['Air Conditioning', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Rear-View Camera', 'Remote Start', 'Split/Folding Seats', 'Towing Package']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 0, 'useType': 'Personal Use', 'ownerNumber': 1}]}",10/2/18,32.83327,-96.8308,https://www.carfax.com/vehicle/5YJXCDE49HF053561
Tesla,Model X,2017,12232,Luxury,129999,No Accident or Damage Reported,SUV,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,TX,Dallas,FALSE,NA,AWD,Electric,White,White,Electric,86,81,92,4.3,,"['Air Conditioning', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Rear-View Camera', 'Remote Start', 'Split/Folding Seats', 'Towing Package']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 0, 'useType': 'Personal Use', 'ownerNumber': 1}]}",10/2/18,32.83327,-96.8308,https://www.carfax.com/vehicle/5YJXCDE49HF053561
BMW,i3,2014,25010,Luxury,16598,Damage Reported,Hatchback,FALSE,TRUE,TRUE,Used,TRUE,Automatic,,TX,Dallas,FALSE,NA,RWD,Electric,Gray,Gray,Electric,124,137,111,4,,"['Handsfree/Bluetooth Integration', 'Heated Seats', 'Navigation System']","[{'city': 'Dallas', 'state': 'TX', 'odometerReading': 25012, 'date': '09/27/18', 'description': '[Pre-delivery inspection completed, Alignment checked, Battery/charging system checked, Brakes checked, Computer reprogrammed, Safety inspection performed, Tire condition and pressure checked, Tire(s) replaced, One tire replaced, Vehicle washed/detailed, Emissions or safety inspection performed]', 'source': 'BMW of Dallas / MINI of Dallas, Dallas, TX, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 6868, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/26/18,32.83448,-96.82931,https://www.carfax.com/vehicle/WBY1Z2C59EV285738
Tesla,Model S,2013,56451,Luxury,46777,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,AZ,Phoenix,FALSE,NA,RWD,Electric,Tan,Blue,Electric,89,88,90,4.8,47030,"['Air Conditioning', 'Fog Lights', 'Power Steering', 'Rear-View Camera', 'Remote Start']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 11084, 'useType': 'Personal Use', 'ownerNumber': 1}]}",6/2/18,33.5079,-112.08215,https://www.carfax.com/vehicle/5YJSA1DP8DFP07311
Nissan,Leaf,2016,18943,Economy,12500,No Accident or Damage Reported,Hatchback,TRUE,FALSE,TRUE,Used,TRUE,Automatic,,AZ,Phoenix,FALSE,NA,FWD,Electric,Black,Black,Electric,114,126,101,2.9,13010,"['Air Conditioning', 'CD (Single Disc)', 'Cloth Seats', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Rear-View Camera', 'Split/Folding Seats']","[{'city': 'Fontana', 'state': 'CA', 'odometerReading': 0, 'date': '11/08/16', 'description': '[Pre-delivery inspection completed]', 'source': 'Fontana Nissan, Fontana, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 0, 'useType': 'Personal Lease', 'ownerNumber': 1}, {'averageMilesPerYear': 12679, 'useType': 'Personal Use', 'ownerNumber': 2}]}",9/15/18,33.50824,-112.05509,https://www.carfax.com/vehicle/1N4AZ0CPXGC308505
Chevrolet,Spark EV,2015,41930,Economy,10000,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,AZ,Phoenix,FALSE,NA,FWD,Electric,Gray,Green,Electric,119,128,109,2.9,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Power Steering', 'Power Windows', 'Satellite Radio', 'Split/Folding Seats']","[{'city': 'Long Beach', 'state': 'CA', 'odometerReading': 2165, 'date': '06/30/15', 'description': '[Vehicle serviced]', 'source': 'Harbor Chevrolet, Long Beach, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 12117, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/6/18,33.50824,-112.05509,https://www.carfax.com/vehicle/KL8CL6S09FC717792
Chevrolet,Bolt EV,2017,11763,Economy,29500,No Accident or Damage Reported,Hatchback,TRUE,TRUE,FALSE,Used,TRUE,Automatic,,AZ,Phoenix,FALSE,NA,FWD,Electric,Gray,White,Electric,119,128,110,2.9,30050,"['Air Conditioning', 'Alloy Wheels', 'Cloth Seats', 'Cruise Control', 'Keyless Entry', 'Power Steering', 'Power Windows', 'Rear-View Camera', 'Satellite Radio', 'Split/Folding Seats']","[{'city': 'Phoenix', 'state': 'AZ', 'odometerReading': 10, 'date': '10/06/17', 'description': '[Vehicle serviced]', 'source': 'Courtesy Chevrolet, Phoenix, AZ, '}]","{'text': 'Vehicle Use', 'icon': '', 'iconUrl': None, 'history': [{'averageMilesPerYear': 0, 'ownerNumber': 1}]}",9/7/18,33.50824,-112.05509,https://www.carfax.com/vehicle/1G1FW6S01H4181941
Chevrolet,Spark EV,2015,33730,Economy,8500,Damage Reported,Hatchback,FALSE,TRUE,TRUE,Used,TRUE,Automatic,,AZ,Phoenix,FALSE,NA,FWD,Electric,Gray,Red,Electric,119,128,109,2.9,8840,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'Power Steering', 'Power Windows', 'Satellite Radio', 'Split/Folding Seats']","[{'city': 'La Mesa', 'state': 'CA', 'odometerReading': 14959, 'date': '09/27/16', 'description': '[Vehicle serviced]', 'source': 'Bob Stall Chevrolet, La Mesa, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 10206, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",8/30/18,33.50824,-112.05509,https://www.carfax.com/vehicle/KL8CL6S05FC737781
